"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Layer Super Output Areas - Overcrowded Households"
""

Filters:
Indicator: People living in overcrowded households (bedrooms measure) (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Gwynedd 003B ","W01000071 ",6.7226890756,8.6206896552,9.2985318108,6.6497783407,3.5842293907,8.5106382979,7.5342465753,9.5744680851,13.1868131868132,14.556962025,11.560693642,4.8913043478,3.5175879397,6.0913705584,3.9772727273,5.5172413793,3.9682539683,1.5384615385,7.2164948454,1.6129032258,1.7857142857,0,3.7037037037
"Gwynedd 003C ","W01000096 ",3.6006546645,5,5.2287581699,4.0789473684,0,3.1914893617,6.6666666667,5.2631578947,6.52173913043478,7.1428571429,2.5,4.7058823529,1.0101010101,7.2289156627,1.4925373134,7.5949367089,1.3698630137,1.5625,0,0,0,0,0
"Gwynedd 003D ","W01000097 ",4.3243243243,5.376344086,6.2200956938,4.7493403694,1.2048192771,3.8461538462,3.7735849057,9.0909090909,13.0434782608696,7.4074074074,6.5934065934,3.8961038961,2.9411764706,3.7974683544,2.4096385542,4.4776119403,5.5555555556,1.3888888889,1.9230769231,0,2.7027027027,0,0
"Gwynedd 003E ","W01000115 ",4.8328816621,8.4282460137,8.203125,4.8763250883,0.2777777778,12.121212121,6.4285714286,7.1856287425,6.84931506849315,10.924369748,7.874015748,4.5112781955,7.9136690647,6.3953488372,2.2346368715,2.6737967914,1.4184397163,1.3793103448,0,1.2820512821,0,0,0
"Gwynedd 005A ","W01000063 ",5.6345444971,8.5648148148,9.3439363817,5.8091286307,0,6.0810810811,6.8376068376,11.976047904,14.0845070422535,7.6335877863,6.3063063063,5.1020408163,6.8965517241,5.5900621118,7.1428571429,2.4390243902,6.6666666667,0,0,0,0,0,0
"Gwynedd 005B ","W01000081 ",5.0890585242,8.5106382979,8.1578947368,5.3840063341,1.072386059,13.08411215,7.4074074074,5.6737588652,5.88235294117647,11.450381679,6.1946902655,5,8.2802547771,7.3033707865,1.1904761905,2.752293578,1.8018018018,3.2,2.9411764706,0.9009009009,0,0,0
"Gwynedd 005C ","W01000099 ",3.1108597285,7.1225071225,6.2355658199,2.5884383089,0,6.0869565217,9.0909090909,6.5693430657,2.4390243902439,5.5555555556,4.2105263158,3.1578947368,4.2016806723,2.5316455696,2.2388059701,1.8018018018,0.8474576271,0,0,0,0,0,0
"Gwynedd 005D ","W01000103 ",5.1094890511,11.946902655,12.5,4.498714653,0.4366812227,8.9552238806,16,11.926605505,14.8148148148148,6.0240963855,6,8.5714285714,4.2857142857,3.8095238095,1.0416666667,2.1739130435,2.4390243902,1.3157894737,0,0,0,0,3.5714285714
"Gwynedd 004A ","W01000052 ",5.8923996584,12.033195021,12.328767123,5.3547523427,0,18.055555556,3.0303030303,13.59223301,13.7254901960784,11.428571429,3.7974683544,4.6153846154,7.6923076923,7.9207920792,4.5454545455,1.2820512821,1.3333333333,0,0,0,0,0,0
"Gwynedd 004B ","W01000053 ",7.9012345679,14.107883817,13.240418118,7.2151898734,2.7173913043,14.666666667,18.987341772,9.1954022989,8.69565217391304,13.888888889,11.267605634,6.6666666667,7.3684210526,7.7669902913,4.2553191489,6.976744186,2.1505376344,5.7142857143,3.0769230769,4.2553191489,0,0,7.6923076923
"Gwynedd 004C ","W01000087 ",4.4187269858,7.4592074592,8.0808080808,4.4142614601,0,8.5714285714,8.6330935252,5.3333333333,12.1212121212121,8.3333333333,4.8076923077,3.2786885246,4.0540540541,5.7142857143,5.6603773585,1.8691588785,0.8474576271,0.7407407407,0,0,0,0,0
"Gwynedd 004D ","W01000119 ",4.1591320072,8.0213903743,7.1269487751,3.8952316991,1.1461318052,9.0909090909,10.526315789,4.8,2.66666666666667,11.111111111,4.9382716049,3.7267080745,3.550295858,1.8404907975,2.5477707006,3.6363636364,1.7857142857,0.6896551724,2.9702970297,0,1.3157894737,0,0
"Gwynedd 006A ","W01000059 ",7.416502947,11.302211302,12.090163934,7.7607113985,2.2959183673,15.753424658,10.344827586,7.5862068966,16.0493827160494,13.907284768,9.4017094017,6.9306930693,7.5,4.1666666667,7.8947368421,6.0344827586,4.9504950495,3.2467532468,2.8037383178,4.2105263158,1.2195121951,0,2.2727272727
"Gwynedd 006B ","W01000093 ",2.9039812646,6.1643835616,6.2146892655,3.4401876466,0,8.3333333333,5.9523809524,4.8387096774,6.45161290322581,8.064516129,6.25,2.4590163934,3.4188034188,1.5151515152,3.1746031746,3.75,0,0.6802721088,0,0,0,0,0
"Gwynedd 006C ","W01000098 ",7.469775475,12.638230648,12.23922114,6.0563380282,2.6615969582,8.8,15.50802139,14.795918367,9.30232558139535,7.7586206897,6.1111111111,11.971830986,9.0909090909,4.6511627907,3.5294117647,4.0816326531,2,0,7.7922077922,1.4705882353,0,0,0
"Gwynedd 006D ","W01000110 ",2.7888446215,5.5921052632,4.8128342246,2.5252525253,0,8,3.1914893617,5.4545454545,1.42857142857143,4.1237113402,6.6666666667,4.8076923077,4.4943820225,0.8620689655,0,2.8571428571,0,1.8518518519,0,0,0,0,0
"Gwynedd 007A ","W01000054 ",3.4914950761,5.7971014493,6.5306122449,3.9334341906,0.4016064257,4.6875,9.2307692308,3.8461538462,10.5263157894737,6.4935064935,5.4545454545,5.2631578947,4.6153846154,1.4285714286,2.380952381,4,2.8571428571,0,0,0,2,0,0
"Gwynedd 007B ","W01000088 ",3.062248996,4.1062801932,4.4025157233,3.0910609858,1.8372703412,4.0268456376,5.5555555556,2.8776978417,6.34920634920635,8.4905660377,3.7974683544,0.9708737864,2.9411764706,4.9295774648,1.3605442177,1.2658227848,3.1496062992,0.7352941176,0,0,0,1.6129032258,10.526315789
"Gwynedd 007C ","W01000111 ",5.6209150327,11.721611722,11.038961039,5.4110301769,0.6756756757,9.0909090909,13.432835821,13.08411215,5.71428571428571,5.4263565891,8.6956521739,8,10.344827586,2.5862068966,3.5714285714,4.1666666667,2.7027027027,1.9607843137,0,2.8169014085,0,0,0
"Gwynedd 007D ","W01000118 ",4.4883303411,8.5798816568,7.960199005,4.2594385286,0.6666666667,5.1546391753,11.214953271,8.9552238806,4.6875,11.956521739,3.3333333333,2.9702970297,5.7142857143,4.958677686,4.0650406504,2.7272727273,0.7936507937,3.0534351145,0,0,2.1739130435,0,2.1739130435
"Gwynedd 008A ","W01000073 ",2.7380952381,1.6949152542,1.9498607242,3.861003861,0.2865329513,2.3529411765,2.1276595745,0.8620689655,3.125,11.827956989,9.2105263158,4.1666666667,3.8095238095,0.8130081301,0.7142857143,2.7027027027,5,1.5151515152,0.8547008547,0,0,0,0
"Gwynedd 008B ","W01000086 ",5.3357047577,6.4220183486,7.6481835564,6.5502183406,0.4555808656,5.8823529412,2.5210084034,9.756097561,13.7931034482759,16.666666667,7.5268817204,4.8,8.2089552239,2.4096385542,6.25,7.8431372549,1.9736842105,1.7441860465,0.6944444444,1.0101010101,0,0,0
"Gwynedd 008C ","W01000104 ",3.4463276836,9.0634441088,8.8235294118,2.7027027027,0.5464480874,8.7378640777,12.14953271,6.6115702479,7.79220779220779,5.9829059829,2.3255813953,5.6179775281,1.5873015873,0.8196721311,1.6666666667,3.7037037037,0,0,0.8333333333,0,1.5873015873,0,0
"Gwynedd 008D ","W01000112 ",6.1139896373,11.73594132,11.983471074,5.6924384027,0.8720930233,9.7014925373,9.756097561,15.131578947,13.3333333333333,8.7378640777,13.333333333,5.4054054054,7.6923076923,3.5971223022,7.4626865672,3.5398230088,0.6802721088,0.6756756757,1.6260162602,0,1.5384615385,0,0
"Gwynedd 009A ","W01000056 ",5.7066666667,7.4585635359,8.1264108352,6.1718098415,1.9108280255,6.7226890756,6.3636363636,9.022556391,11.1111111111111,14.102564103,7.5471698113,5.9405940594,5.4054054054,9.009009009,4.8951048951,2.34375,0.8403361345,1.3986013986,1.1235955056,1.2345679012,5.5555555556,2,0
